Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"29200048: Ward 48",5541,6231,11769
"29200049: Ward 49",6159,6522,12681
"29200050: Ward 50",5115,6015,11127
"29300001: Ward 1",9189,9957,19146
"29300002: Ward 2",10260,10770,21024
"29300003: Ward 3",7167,8220,15384
"29300004: Ward 4",12741,13074,25812
"29300005: Ward 5",8859,9366,18225
"29300006: Ward 6",6498,7302,13800
"29300007: Ward 7",8334,9423,17757
"29300008: Ward 8",9732,10722,20457
"29300009: Ward 9",7449,8421,15864
"29300010: Ward 10",8913,9882,18795
"29300011: Ward 11",8064,8493,16557
"29300012: Ward 12",12747,14190,26937
"29300013: Ward 13",9765,10629,20394
"29300014: Ward 14",6048,6984,13035
"29300015: Ward 15",7287,8001,15288
"29300016: Ward 16",4446,4740,9186
"29300017: Ward 17",7542,8067,15612
"29300018: Ward 18",8259,8676,16935
"29300019: Ward 19",5583,5964,11547
"29300020: Ward 20",5607,5781,11391
"29300021: Ward 21",6756,7182,13938
"29300022: Ward 22",7347,8235,15582
"29300023: Ward 23",6489,7095,13584
"29300024: Ward 24",7002,7602,14604
"29300025: Ward 25",7524,9366,16890
"29300026: Ward 26",5442,6144,11589
"29300027: Ward 27",7002,7455,14454
"29300028: Ward 28",8481,9198,17682
